year,customer,min,base,max
2023,AN THANH PHAT,1473,1620,1782
2023,APEX,0,0,0
2023,LONG DANG,364,400,440
2023,CONG TY TNHH HOANG GIA ANH,36,40,44
2023,DOAN MINH,1327,1460,1606
2023,GIA LONG,91,100,110
2023,HMC,218,240,264
2023,JM ENTERPRISE,0,0,0
2023,KPX,400,440,484
2023,NAGASE,109,120,132
2023,NEW MATERIAL,218,240,264
2023,NGOC DAN,3200,3520,3872
2023,PUS,0,0,0
2023,SANAKY,636,700,770
2023,SIBARY,0,0,0
2023,TONMAT,236,260,286
2023,TST,73,80,88
2023,WANEK,139,153,168.3
2023,Short hills,0,0,0
2024,AN THANH PHAT,1455,1600,1760
2024,APEX,73,80,88
2024,LONG DANG,227,250,275
2024,CONG TY TNHH HOANG GIA ANH,73,80,88
2024,DOAN MINH,1527,1680,1848
2024,GIA LONG,109,120,132
2024,HMC,364,400,440
2024,JM ENTERPRISE,73,80,88
2024,KPX,655,720,792
2024,NAGASE,36,40,44
2024,NEW MATERIAL,327,360,396
2024,NGOC DAN,2691,2960,3256
2024,PUS,291,320,352
2024,SANAKY,545,600,660
2024,SIBARY,0,0,0
2024,TONMAT,218,240,264
2024,TST,109,120,132
2024,WANEK,93,102,112
2024,Short hills,182,200,220
2025,AN THANH PHAT,1530,1700,1751
2025,APEX,84,88,92
2025,LONG DANG,285,300,315
2025,CONG TY TNHH HOANG GIA ANH,180,200,212
2025,DOAN MINH,1710,1900,1984
2025,GIA LONG,180,200,212
2025,HMC,378,420,445
2025,JM ENTERPRISE,90,94.4,99
2025,KPX,752,792,832
2025,NAGASE,42,44,46
2025,NEW MATERIAL,410,432,454
2025,NGOC DAN,2600,2800,2884
2025,PUS,630,700,742
2025,SANAKY,400,500,525
2025,SIBARY,0,0,0
2025,TONMAT,563,625,663
2025,TST,125,132,139
2025,WANEK,102,107,112
2025,Short hills,228,240,252
2026,AN THANH PHAT,0,1768,0
2026,APEX,0,91,0
2026,LONG DANG,0,309,0
2026,CONG TY TNHH HOANG GIA ANH,0,208,0
2026,DOAN MINH,0,1976,0
2026,GIA LONG,0,208,0
2026,HMC,0,437,0
2026,JM ENTERPRISE,0,97,0
2026,KPX,0,817,0
2026,NAGASE,0,45,0
2026,NEW MATERIAL,0,445,0
2026,NGOC DAN,0,2912,0
2026,PUS,0,728,0
2026,SANAKY,0,516,0
2026,SIBARY,0,0,0
2026,TONMAT,0,650,0
2026,TST,0,136,0
2026,WANEK,0,110,0
2026,Short hills,0,247,0
